WQ,btController,esp_timer,idle,loggi,net_mgmt,net_socket_service,rtc_thread_id,storage_thread_id,sysworkq,tcp_work,thread_analyzer,wifi
22,40,10,19,89,24,42,29,53,46,14,83,48
22,40,10,19,,25,54,64,53,46,14,83,48
22,40,10,19,,25,54,64,53,46,14,83,48
22,40,10,19,,25,54,64,53,84,14,83,48
22,40,10,19,,25,54,64,53,84,14,83,48
22,40,10,19,,25,54,64,53,84,14,83,48
22,40,10,19,,25,54,64,53,84,14,83,48
22,40,10,19,,25,54,64,53,84,14,83,48
22,40,10,19,,25,54,64,53,84,14,83,48
22,40,10,82,,25,54,64,53,84,14,83,48
22,40,10,82,,25,54,64,53,84,14,83,48
